"piped","well","tank","pit_latrine","Region"
13297,1174,7129,6952,"National"
0,0,0,0,"Torba"
0,0,0,0,"Torres"
0,0,0,0,"Ureparapara"
0,0,0,0,"Motalava"
0,0,0,0,"West Vanualava"
0,0,0,0,"East Vanualava"
0,0,0,0,"Mota"
0,0,0,0,"East Gaua"
0,0,0,0,"West Gaua"
0,0,0,0,"Merelava"
0,0,0,0,"Sanma"
0,0,0,0,"Luganville"
0,0,0,0,"North West Santo"
0,0,0,0,"Big Bay Coast"
0,0,0,0,"Big Bay Inland"
0,0,0,0,"West Santo"
0,0,0,0,"South Santo 1"
0,0,0,0,"South Santo 2"
0,0,0,0,"East Santo"
0,0,0,0,"South East Santo"
0,0,0,0,"Canal Fanafo"
0,0,0,0,"West Malo"
0,0,0,0,"East Malo"
0,0,0,0,"Penama"
0,0,0,0,"West Ambae"
0,0,0,0,"North Ambae"
0,0,0,0,"East Ambae"
0,0,0,0,"South Ambae"
0,0,0,0,"North Maewo"
0,0,0,0,"South Maewo"
0,0,0,0,"North Pentecost"
0,0,0,0,"Central Pentecost 1"
0,0,0,0,"Central Pentecost 2"
0,0,0,0,"South Pentecost"
471,184,319,454,"Malampa"
87,3,14,73,"North West Malekula"
46,49,53,43,"North East Malekula"
100,10,29,44,"Central Malekula"
48,7,32,71,"South West Malekula"
90,6,10,86,"South East Malekula"
40,6,69,55,"South Malekula"
13,47,40,36,"North Ambrym"
4,23,11,4,"West Ambrym"
38,11,12,2,"South East Ambrym"
5,22,49,40,"Paama"
9458,830,5649,3292,"Shefa"
5476,27,474,305,"Port Vila"
125,104,203,266,"Vermali"
154,59,114,74,"Vermaul"
164,5,186,353,"Varisu"
108,23,193,266,"South Epi"
35,25,166,104,"North Tongoa"
9,27,127,62,"Tongariki"
2,29,131,46,"Makimae"
21,43,259,54,"Nguna"
0,30,108,96,"Emau"
259,27,337,118,"Malorua"
70,40,488,107,"North Efate"
122,11,468,19,"Mele"
938,177,183,174,"Tanvasoko"
155,0,16,5,"Ifira"
246,6,78,1,"Pango"
1221,48,910,565,"Erakor"
201,125,860,372,"Eratap"
152,24,348,305,"Eton"
3368,160,1161,3206,"Tafea"
101,0,78,46,"North Erromango"
21,0,39,4,"South Erromango"
0,1,67,13,"Aniwa"
198,1,116,367,"North Tanna"
1112,57,517,1050,"West Tanna"
218,23,289,402,"Middle Bush Tanna"
607,48,14,460,"South West Tanna"
798,23,19,657,"Whitesands"
175,4,6,69,"South Tanna"
42,0,0,2,"Futuna"
96,3,16,136,"Aneityum"
