"Region","private_households_damaged","tent","solar_lamp","kitchen_set","jerrycan_10l","sleeping_mat","blanket"
"National",23176,23176,23176,23176,23176,23176,23176
"Malampa",1028,1028,1028,1028,1028,1028,1028
"North West Malekula",118,118,118,118,118,118,118
"North East Malekula",153,153,153,153,153,153,153
"Central Malekula",153,153,153,153,153,153,153
"South West Malekula",93,93,93,93,93,93,93
"South East Malekula",115,115,115,115,115,115,115
"South Malekula",120,120,120,120,120,120,120
"North Ambrym",100,100,100,100,100,100,100
"West Ambrym",38,38,38,38,38,38,38
"South East Ambrym",60,60,60,60,60,60,60
"Paama",78,78,78,78,78,78,78
"Shefa",16724,16724,16724,16724,16724,16724,16724
"Port Vila",6222,6222,6222,6222,6222,6222,6222
"Vermali",432,432,432,432,432,432,432
"Vermaul",327,327,327,327,327,327,327
"Varisu",425,425,425,425,425,425,425
"South Epi",327,327,327,327,327,327,327
"North Tongoa",227,227,227,227,227,227,227
"Tongariki",164,164,164,164,164,164,164
"Makimae",162,162,162,162,162,162,162
"Nguna",328,328,328,328,328,328,328
"Emau",138,138,138,138,138,138,138
"Malorua",706,706,706,706,706,706,706
"North Efate",605,605,605,605,605,605,605
"Mele",621,621,621,621,621,621,621
"Tanvasoko",1330,1330,1330,1330,1330,1330,1330
"Ifira",171,171,171,171,171,171,171
"Pango",334,334,334,334,334,334,334
"Erakor",2303,2303,2303,2303,2303,2303,2303
"Eratap",1275,1275,1275,1275,1275,1275,1275
"Eton",627,627,627,627,627,627,627
"Tafea",5424,5424,5424,5424,5424,5424,5424
"North Erromango",184,184,184,184,184,184,184
"South Erromango",75,75,75,75,75,75,75
"Aniwa",69,69,69,69,69,69,69
"North Tanna",511,511,511,511,511,511,511
"West Tanna",1783,1783,1783,1783,1783,1783,1783
"Middle Bush Tanna",790,790,790,790,790,790,790
"South West Tanna",711,711,711,711,711,711,711
"Whitesands",890,890,890,890,890,890,890
"South Tanna",202,202,202,202,202,202,202
"Futuna",43,43,43,43,43,43,43
"Aneityum",166,166,166,166,166,166,166
